IDs         length   Exptl.  resolution  R-factor FreeRvalue
3T64A       181      XRAY        1.650    0.19    0.22
1LGPA       116      XRAY        2.000    0.23    0.29
4DZDA       218      XRAY        2.000    0.20    0.25
3G21A        77      XRAY        0.900    0.12    0.14
5H5FA       234      XRAY        1.700    0.15    0.18
1N97A       389      XRAY        1.800    0.21    0.22
3V4YB        62      XRAY        2.100    0.16    0.20
3VIIA       487      XRAY        0.970    0.13    0.14
4CIJA       271      XRAY        2.300    0.20    0.23
3NEUA       125      XRAY        1.580    0.20    0.22
3QF2A       110      XRAY        1.700    0.21    0.23
4OOGA       110      XRAY        2.500    0.22    0.24
1IJYA       130      XRAY        1.350    0.23    0.25
5B7HA       219      XRAY        1.490    0.16    0.19
4YCUC        42      XRAY        2.100    0.19    0.21
4H15A       261      XRAY        1.450    0.15    0.17
4BQ6D       251      XRAY        2.300    0.22    0.27
4NTWC       119      XRAY        2.070    0.21    0.25
3LICA       274      XRAY        2.300    0.18    0.24
3KK4A       125      XRAY        1.950    0.15    0.20
3OC7A       267      XRAY        1.500    0.17    0.18
2V33A        91      XRAY        1.550    0.20    0.23
2ZPAA       671      XRAY        2.350    0.23    0.27
3WKXA       669      XRAY        2.000    0.23    0.28
3CS1A       219      XRAY        2.000    0.22    0.29
1XG0A        76      XRAY        0.970    0.11    0.13
4ZZFA       146      XRAY        2.170    0.20    0.23
5J71A       400      XRAY        1.650    0.18    0.20
4FDDA       852      XRAY        2.300    0.28    0.24
2VWAA       101      XRAY        2.500    0.22    0.27
3MLNA       224      XRAY        2.400    0.17    0.22
3NYCA       381      XRAY        1.060    0.14    0.16
2PA8D       265      XRAY        1.760    0.21    0.25
1M93B       245      XRAY        1.650    0.19    0.24
5MLTA       455      XRAY        1.610    0.20    0.23
3EJ9A        76      XRAY        1.500    0.21    0.25
4DM7A       301      XRAY        1.360    0.21    0.22
4HJIA       175      XRAY        1.600    0.22    0.25
3H6JA       438      XRAY        1.600    0.17    0.19
2P5VA       162      XRAY        1.990    0.18    0.24
1NLFA       279      XRAY        1.950    0.24    0.24
4Q0WA       365      XRAY        2.100    0.19    0.23
3ZM6A       465      XRAY        1.840    0.23    0.26
4KL0A       379      XRAY        1.600    0.20    0.23
4L9EA       139      XRAY        1.650    0.20    0.22
1SQSA       242      XRAY        1.500    0.20    0.22
1X9MA       698      XRAY        2.100    0.21    0.24
3IGQA       201      XRAY        2.300    0.21    0.26
1VHZA       198      XRAY        2.320    0.18    0.25
3FP3A       537      XRAY        1.980    0.19    0.23
5JIYA       274      XRAY        1.480    0.21    0.23
2FSDA       142      XRAY        2.300    0.24    0.27
3CJEA       167      XRAY        1.700    0.14    0.16
2Z3QB       107      XRAY        1.850    0.20    0.25
5AOXB        94      XRAY        2.040    0.19    0.22
2G2CA       167      XRAY        1.500    0.17    0.20
3N0AA       361      XRAY        2.200    0.17    0.20
3FWBB        55      XRAY        2.500    0.19    0.23
1IFRA       121      XRAY        1.400    0.22    1.00
3CWXA       176      XRAY        2.300    0.24    0.29
5CL8A       241      XRAY        1.380    0.13    0.16
4EAEA       190      XRAY        1.320    0.16    0.18
1WDJA       187      XRAY        2.000    0.19    0.24
5C2UA       143      XRAY        1.550    0.18    0.20
3MDUA       453      XRAY        1.400    0.18    0.19
2CX1A       187      XRAY        1.800    0.16    0.19
2JAQA       205      XRAY        2.300    0.23    0.26
4RMMA       154      XRAY        2.200    0.24    0.28
5WQ3A       264      XRAY        1.950    0.18    0.23
1C7SA       858      XRAY        1.800    0.18    0.22
4LZGA       356      XRAY        1.600    0.18    0.20
3A0OA       776      XRAY        2.110    0.18    0.22
4GNEA       107      XRAY        1.470    0.15    0.18
4YS0A       824      XRAY        1.900    0.18    0.23
4PDCE       150      XRAY        1.990    0.17    0.21
1H3OA        75      XRAY        2.300    0.23    0.27
5TT6A       394      XRAY        2.190    0.20    0.26
1EKEA       230      XRAY        2.000    0.21    0.26
2IP1A       432      XRAY        1.800    0.18    0.21
3FNCA       163      XRAY        1.750    0.17    0.20
4ANOA       219      XRAY        1.700    0.21    0.25
2YVPA       182      XRAY        1.660    0.19    0.20
4PQ0A       242      XRAY        1.650    0.22    0.25
4WH9A       183      XRAY        1.500    0.13    0.15
2F6RA       281      XRAY        1.700    0.18    0.21
1F2TA       149      XRAY        1.600    0.19    0.23
4LDAA       131      XRAY        2.400    0.20    0.23
5T3UA       148      XRAY        2.150    0.21    0.25
1EFDN       266      XRAY        1.900    0.22    0.25
2G9WA       138      XRAY        1.800    0.20    0.25
2R6JA       318      XRAY        1.500    0.20    0.23
1IQQA       200      XRAY        1.500    0.17    0.20
3K2JA       130      XRAY        2.200    0.23    0.27
4BVXA       215      XRAY        1.600    0.22    0.25
3B4NA       344      XRAY        1.450    0.18    0.20
1EQ2A       310      XRAY        2.000    0.22    0.26
2PK8A       103      XRAY        1.850    0.21    0.24
4QMHA       241      XRAY        1.650    0.16    0.19
3UT4A       134      XRAY        2.030    0.23    0.27
4K35A       771      XRAY        2.000    0.14    0.18
1MV8A       436      XRAY        1.550    0.17    0.19
4TZ1A       549      XRAY        1.500    0.10    0.12
3HBZA       342      XRAY        2.050    0.16    0.19
3ZFIA       104      XRAY        1.980    0.19    0.23
4EKXA       116      XRAY        1.750    0.19    0.23
1LE8A        53      XRAY        2.300    0.26    0.30
3C1AA       315      XRAY        1.850    0.22    0.26
5C0PA       298      XRAY        1.530    0.15    0.16
1JHSA       188      XRAY        1.900    0.21    0.25
3EDNA       299      XRAY        1.500    0.18    0.22
4R81A       206      XRAY        1.500    0.17    0.21
4OWTA       466      XRAY        2.000    0.17    0.20
1BM8A        99      XRAY        1.710    0.20    0.26
3FJSA       114      XRAY        1.900    0.18    0.22
3HZBA        90      XRAY        1.740    0.19    0.22
3D79A       179      XRAY        1.730    0.21    0.23
4V0WB        44      XRAY        1.550    0.17    0.20
5CG5A       355      XRAY        1.400    0.20    0.22
5A7MA       766      XRAY        1.800    0.16    0.20
1ZOQC        47      XRAY        2.370    0.21    0.23
5IQJA       134      XRAY        1.900    0.18    0.23
2QJCA       262      XRAY        2.050    0.25    0.28
3R89A       290      XRAY        1.840    0.16    0.20
3OR5A       165      XRAY        1.660    0.17    0.20
4W82A       339      XRAY        1.700    0.19    0.22
3CZBA       351      XRAY        2.500    0.20    0.25
3LOYA       633      XRAY        2.000    0.15    0.19
5CJZA       626      XRAY        1.800    0.18    0.21
4DKNA       223      XRAY        1.350    0.19    0.21
1WD5A       208      XRAY        2.000    0.20    0.23
2EJQA       130      XRAY        2.080    0.23    0.25
4ZRSA       306      XRAY        2.000    0.15    0.20
1DUSA       194      XRAY        1.800    0.19    0.23
2GTRA       261      XRAY        1.900    0.19    0.23
3G9GA       287      XRAY        2.400    0.19    0.24
3K59A       786      XRAY        1.920    0.20    0.20
4NDJA       305      XRAY        1.850    0.17    0.20
3MHSB        96      XRAY        1.890    0.16    0.21
1NZJA       298      XRAY        1.500    0.15    0.17
1OFCX       304      XRAY        1.900    0.22    0.25
4WBTA       376      XRAY        1.600    0.15    0.16
1LQVA       193      XRAY        1.600    0.19    0.22
1ZV1A        65      XRAY        1.600    0.21    0.26
3VK8A       295      XRAY        2.000    0.21    0.23
3VFIA       104      XRAY        1.750    0.20    0.23
3EERA       148      XRAY        1.450    0.14    0.16
4BXMA       157      XRAY        2.150    0.17    0.21
2UZ1A       563      XRAY        1.650    0.17    0.19
3BZCA       785      XRAY        2.270    0.29    0.27
4C0NA       175      XRAY        1.770    0.19    0.20
3GWQA       426      XRAY        2.000    0.17    0.20
1V5IB        76      XRAY        1.500    0.18    0.19
3E8LC       185      XRAY        2.480    0.20    0.24
2WOYA       356      XRAY        1.500    0.18    0.21
3TEWA       715      XRAY        1.450    0.19    0.22
3BPQA        52      XRAY        2.200    0.24    0.27
4GWGA       484      XRAY        1.390    0.17    0.19
4QPMA       356      XRAY        2.200    0.23    0.27
2WBFX       265      XRAY        1.600    0.15    0.18
2JJUA       127      XRAY        1.190    0.14    0.16
4HTPA       240      XRAY        2.250    0.20    0.25
4GDXA       374      XRAY        1.670    0.15    0.17
2YFOA       720      XRAY        1.350    0.12    0.14
4UFRA       484      XRAY        2.200    0.21    0.26
4CI9A       455      XRAY        1.580    0.17    0.19
3S6SA       206      XRAY        2.400    0.20    0.24
5U9NA       151      XRAY        2.400    0.23    0.26
2QV3A       457      XRAY        2.400    0.18    0.22
5HMAA       191      XRAY        2.300    0.18    0.21
2NQ3A       173      XRAY        1.800    0.16    0.20
5UE1A       234      XRAY        1.140    0.13    0.16
3FZYA       234      XRAY        1.950    0.17    0.22
2HDOA       209      XRAY        1.500    0.18    0.21
4DNHA       396      XRAY        2.500    0.18    0.24
3CX5D       248      XRAY        1.900    0.24    0.26
4KP3E        43      XRAY        2.410    0.20    0.24
4O5JA       461      XRAY        2.200    0.14    0.16
2GXQA       207      XRAY        1.200    0.14    0.17
1J24A       143      XRAY        1.780    0.21    0.25
4LZXB        40      XRAY        1.500    0.15    0.19
5C22A       279      XRAY        2.300    0.23    0.26
3HZ7A        87      XRAY        2.000    0.23    0.25
3PPMA       573      XRAY        1.780    0.15    0.18
1HI9A       274      XRAY        2.400    0.23    0.27
3KEYA       185      XRAY        2.100    0.24    0.25
5LB3B       445      XRAY        1.800    0.20    0.23
3H0OA       240      XRAY        1.400    0.18    0.20
4GJZA       235      XRAY        1.050    0.15    0.16
3C97A       140      XRAY        1.700    0.25    0.27
5K2LA        49      XRAY        1.200    0.14    0.18
5I4AA       642      XRAY        1.950    0.22    0.24
4YZRA       405      XRAY        1.350    0.18    0.21
3AXBA       448      XRAY        1.920    0.19    0.20
3ODTA       313      XRAY        1.350    0.14    0.18
2GXGA       146      XRAY        1.450    0.22    0.24
2HOXA       427      XRAY        1.400    0.17    0.20
4AMNA       421      XRAY        1.500    0.20    0.24
1DBQA       289      XRAY        2.200    0.16    1.00
5A6MA       409      XRAY        1.170    0.12    0.14
1FJRA       195      XRAY        2.300    0.21    0.23
5H0QA       202      XRAY        1.500    0.18    0.22
3TOWA       152      XRAY        1.340    0.17    0.19
3MHSE        96      XRAY        1.890    0.16    0.21
5I0YA       160      XRAY        1.400    0.19    0.21
3DHNA       227      XRAY        2.000    0.23    0.24
1DTDB        61      XRAY        1.650    0.19    0.23
3U3ZA       199      XRAY        1.500    0.13    0.17
3FDRA        94      XRAY        1.750    0.22    0.26
5UZXA       245      XRAY        1.500    0.17    0.20
3EC3A       250      XRAY        1.920    0.19    0.24
5B66J        40      XRAY        1.850    0.16    0.20
3ZOJA       279      XRAY        0.880    0.10    0.11
3KZTA       143      XRAY        2.100    0.22    0.27
5LHXA        93      XRAY        1.530    0.17    0.21
2CY2A       174      XRAY        2.000    0.20    0.23
3D00A       191      XRAY        1.900    0.23    0.27
3D4UB        74      XRAY        1.700    0.16    0.17
2FCOA       200      XRAY        1.400    0.22    0.23
2WM3A       299      XRAY        1.850    0.17    0.20
3BIJA       285      XRAY        2.500    0.21    0.27
5CZDB        85      XRAY        2.340    0.20    0.27
3O2IA       125      XRAY        2.200    0.20    0.25
5ABSA        66      XRAY        1.740    0.25    0.28
1SDOA       203      XRAY        1.850    0.22    0.24
4ZD6A       227      XRAY        1.600    0.18    0.21
4FZQA        79      XRAY        2.500    0.26    0.28
3LMZA       257      XRAY        1.440    0.15    0.18
4M9CA       216      XRAY        2.100    0.19    0.23
2OXGB       124      XRAY        1.400    0.17    0.19
5TVOA       284      XRAY        1.480    0.16    0.20
2QFEA       148      XRAY        1.450    0.19    0.21
5KZZA       127      XRAY        1.330    0.16    0.19
4IRFA       156      XRAY        1.650    0.22    0.23
1XV2A       237      XRAY        2.000    0.19    0.24
1RJDA       334      XRAY        1.800    0.18    0.21
2HZQA       174      XRAY        1.800    0.19    0.23
4HNOA       288      XRAY        0.920    0.13    0.14
3WGTA       347      XRAY        1.880    0.19    0.23
5F72S       257      XRAY        1.850    0.23    0.27
3CNHA       200      XRAY        1.660    0.16    0.19
4DV8A       526      XRAY        1.630    0.18    0.20
4NQ0A       393      XRAY        2.100    0.23    0.24
2Z0XA       158      XRAY        1.640    0.16    0.19
5F07A       213      XRAY        1.500    0.17    0.19
1UUJA        88      XRAY        1.750    0.19    0.25
2GRRB       170      XRAY        1.300    0.20    0.22
1YOZA       116      XRAY        2.000    0.23    0.30
3C8DA       403      XRAY        1.800    0.15    0.19
1KDGA       546      XRAY        1.500    0.14    0.17
5HGZA       243      XRAY        1.380    0.18    0.19
1DUNA       134      XRAY        1.900    0.16    0.21
2RAEA       207      XRAY        2.200    0.23    0.25
4X4WA       416      XRAY        1.900    0.16    0.20
2GUDA       122      XRAY        0.940    0.14    0.16
3ULJA        90      XRAY        1.060    0.12    0.14
2PG3A       232      XRAY        2.400    0.19    0.22
1RO7A       259      XRAY        1.800    0.22    0.25
1O6DA       163      XRAY        1.660    0.23    0.26
2F5GA       133      XRAY        1.700    0.21    0.23
3RJOA       419      XRAY        2.300    0.20    0.26
